Date,Open,High,Low,Close,Adj Close,Volume
13-12-2021,244.720001,245.479996,240.5,240.899994,235.981033,1690800
14-12-2021,240,244.880005,239.360001,240.039993,235.138596,1687800
15-12-2021,240.039993,242.240005,239.009995,240.779999,235.86348,1699800
16-12-2021,242.570007,244.75,238.419998,238.520004,233.649643,4465900
17-12-2021,253.740005,260.5,248.059998,250.320007,245.208694,10117300
20-12-2021,250.300003,252.880005,245.449997,245.550003,240.536072,2759100
21-12-2021,248.279999,252.759995,247.820007,251.949997,246.805405,2528100
22-12-2021,252.350006,252.740005,249.300003,249.960007,244.856033,2324300
23-12-2021,250.869995,256.230011,250.649994,253.820007,248.637222,2099300
27-12-2021,254.990005,257.200012,254.350006,256.25,251.017578,1478600
28-12-2021,256.019989,258.359985,255.479996,256.440002,251.20372,1342400
29-12-2021,256.480011,258.51001,256.23999,257.48999,252.232269,1467400
30-12-2021,257.890015,260.209991,257.5,258.559998,253.280396,1785300
31-12-2021,257.570007,260.23999,256.929993,258.640015,253.358826,1272300
03-01-2022,259.799988,261.690002,256.959991,258.549988,253.270645,1752400
04-01-2022,259.649994,265.940002,259.309998,264.910004,259.500793,2586600
05-01-2022,265,266.790009,261.859985,262.130005,256.777527,2437600
06-01-2022,261.98999,265.01001,260.130005,263.190002,257.815887,1857800
07-01-2022,262.690002,266.609985,262.040009,263.98999,258.599548,1646000
10-01-2022,262.619995,262.619995,252.509995,256.549988,251.311447,4553800
11-01-2022,256.549988,257.390015,252.139999,255.539993,250.322083,2018300
12-01-2022,256.079987,259.01001,254.779999,256.209991,250.978409,1413500
13-01-2022,257.209991,260.109985,256.299988,257.670013,252.408615,1658500
14-01-2022,254.589996,256.660004,253.259995,256.220001,250.988205,1393600
18-01-2022,252.660004,254.240005,250.25,253.330002,248.157227,1918700
19-01-2022,253.330002,255.809998,252.179993,252.190002,247.040527,1302800
20-01-2022,253.720001,256,250.639999,250.740005,245.620117,1671600
21-01-2022,249.630005,249.990005,243.940002,244.910004,239.909149,3063600
24-01-2022,239.559998,245.949997,236.850006,245.720001,240.702606,3051500
25-01-2022,241.740005,246.740005,239.009995,244.039993,239.0569,2032200
26-01-2022,245.809998,248.25,241.220001,243.160004,238.194901,2010800
27-01-2022,245.25,247.639999,239.679993,241.929993,236.98999,1865700
28-01-2022,241.139999,244.910004,239.130005,244.779999,239.781799,2287600
31-01-2022,244.029999,246.160004,241,245.860001,240.839752,3395900
01-02-2022,254.779999,256.48999,251.300003,252,246.854385,4598800
02-02-2022,253.440002,253.5,248.850006,251.820007,246.678055,1746900
03-02-2022,249.880005,251.380005,247.059998,247.320007,242.269958,1803300
04-02-2022,246.240005,247.070007,242.039993,244.110001,239.125488,2142000
07-02-2022,244.899994,245.539993,242.619995,243.729996,238.75325,1622600
08-02-2022,244.740005,246.320007,243,243.860001,238.8806,1983100
09-02-2022,245.789993,248.600006,243.610001,244.240005,239.252838,1729200
10-02-2022,242.380005,243.820007,239.539993,240.410004,235.501053,2614000
11-02-2022,240.050003,240.5,231.229996,232.210007,227.468491,4681000
14-02-2022,231.330002,232.220001,226.970001,228.460007,223.795044,2510300
15-02-2022,231.720001,234.169998,230.009995,230.399994,225.695419,2617000
16-02-2022,229,230.389999,224.419998,229.009995,224.333817,2443600
17-02-2022,227.429993,227.860001,224.100006,224.369995,219.788559,1415900
18-02-2022,223.630005,225.070007,220.809998,222.229996,217.692261,1658500
22-02-2022,220.149994,221.649994,216.330002,217.789993,213.342896,2521400
23-02-2022,218.679993,220.039993,214.75,214.839996,210.453156,2253300
24-02-2022,208,216.570007,206.309998,215.919998,211.511093,3002400
25-02-2022,216.539993,222.639999,216.160004,220.720001,216.213089,1963900
28-02-2022,217.179993,222.639999,215.710007,222.270004,217.73143,2477700
01-03-2022,221.039993,221.949997,212.639999,214.910004,210.521713,2081800
02-03-2022,216.440002,222.580002,214.300003,219.25,214.773102,2270600
03-03-2022,222.630005,224.949997,220.199997,221.309998,216.791031,2467700
04-03-2022,218,219,212.300003,214.539993,210.873901,2457300
07-03-2022,212,213.369995,200.639999,201.089996,197.653732,3471100
08-03-2022,202.580002,209.369995,199.029999,203.990005,200.504196,2928200
09-03-2022,209,218.410004,209,216.720001,213.016647,3192400
10-03-2022,212.800003,219.720001,212.350006,219.279999,215.532913,2535300
11-03-2022,220,220.410004,212.729996,213.179993,209.53714,2346300
14-03-2022,212.509995,214.919998,208.809998,211.130005,207.522186,2180700
15-03-2022,214.789993,217.580002,211.929993,216.229996,212.535034,1858400
16-03-2022,218.919998,226.020004,218.75,225.929993,222.06926,3088000
17-03-2022,221.729996,229.419998,220.389999,227.979996,224.084229,5701400
18-03-2022,220,220.190002,212.929993,218.910004,215.16922,9268400
21-03-2022,217.720001,223.199997,217.470001,222.160004,218.363693,3434400
22-03-2022,223.089996,228.699997,222.490005,226.570007,222.698349,2627700
23-03-2022,224.740005,226.070007,221.059998,221.470001,217.685501,1733600
24-03-2022,222.679993,225.449997,220.610001,225.119995,221.273117,2006600
25-03-2022,225.990005,227.050003,223.960007,226.559998,222.688492,1452900
28-03-2022,226.839996,230.160004,225.619995,230.050003,226.118866,1728100
29-03-2022,236.75,241.570007,236.050003,238.570007,234.493271,4055800
30-03-2022,237.25,238.190002,234.149994,235.25,231.230011,2111300
31-03-2022,233.320007,235.830002,231.279999,231.389999,227.435959,1778600
01-04-2022,231.389999,231.679993,221,221.25,217.469238,3435700
04-04-2022,218.389999,220.860001,216.740005,217.990005,214.264954,3479800
05-04-2022,215.330002,218.839996,210.669998,211.029999,207.423889,3124100
06-04-2022,209.5,209.5,203.550003,204,200.514008,3492800
07-04-2022,203.720001,205.039993,199.210007,203.770004,200.287949,3223300
08-04-2022,202.089996,203.679993,199.589996,201.520004,198.076385,2321200
11-04-2022,199.610001,207.649994,199.610001,204.119995,200.631943,2081000
12-04-2022,204.130005,207.169998,202.330002,204.380005,200.887543,2031800
13-04-2022,204.399994,207.550003,203.089996,206.309998,202.784531,1365500
14-04-2022,207.050003,208.5,204.949997,205.740005,202.224289,1922300
18-04-2022,205.520004,206.979996,201.970001,203.259995,199.786652,1510100
19-04-2022,204.550003,210.089996,204.270004,208.809998,205.241821,1761400
20-04-2022,210.539993,214.070007,209.080002,209.190002,205.615326,1824900
21-04-2022,209.979996,210.75,205.5,206.860001,203.32515,2099500
22-04-2022,205.619995,207.910004,204.259995,205.210007,201.703339,2114800
25-04-2022,204.050003,205.800003,197.699997,205.399994,201.890091,2162600
26-04-2022,204.470001,205.289993,198.229996,200,196.582382,1927500
27-04-2022,198.220001,201.559998,196.149994,199.259995,195.855011,1613700
28-04-2022,201.820007,207.070007,200.589996,206.850006,203.315323,2261400
29-04-2022,205.339996,208.869995,198,198.740005,195.343903,2338600
02-05-2022,198.940002,200.479996,192.820007,197.009995,193.643448,2225600
03-05-2022,197.259995,200.600006,195.600006,199.440002,196.031952,1957800
04-05-2022,200.600006,210.029999,199.130005,209.490005,205.910202,2454400
05-05-2022,207,210.550003,204.929993,207.240005,203.698669,2646500
06-05-2022,206.419998,212.440002,203.25,210.210007,206.617905,2357600
09-05-2022,207.320007,212.580002,205.679993,208.270004,204.711044,2320600
10-05-2022,210.279999,211.550003,202.899994,208.059998,204.504639,2278600
11-05-2022,207.710007,212.169998,206.429993,207.199997,203.659332,2807900
12-05-2022,205.320007,208.339996,202.309998,208.199997,204.642242,2345500
13-05-2022,208.690002,215.059998,208.619995,211.289993,207.679443,2077100
16-05-2022,210.470001,211.940002,208.350006,209.720001,206.136261,1301600
17-05-2022,214.470001,222.520004,213.929993,221.5,217.714981,2927500
18-05-2022,217.220001,218.550003,202.610001,203.570007,200.09137,3721100
19-05-2022,201.089996,203.169998,195.539993,199.050003,195.648605,2598700
20-05-2022,201.960007,201.960007,195.429993,200.899994,197.46698,2253900
23-05-2022,202.190002,206.970001,200.639999,204.690002,201.19223,1696200
24-05-2022,202.649994,206,197.279999,205.25,201.742645,1929700
25-05-2022,202.729996,205.449997,198.820007,204.309998,200.818726,2197300
26-05-2022,207.259995,213.600006,206.809998,212.289993,208.662338,1764200
27-05-2022,212.889999,220.100006,212.889999,219.669998,215.916229,2146600
31-05-2022,217.779999,225.910004,215.169998,224.580002,220.74234,3063800
01-06-2022,225,226.330002,216.259995,218.669998,214.933334,1987300
